"""0321732960""","{""description"": [""Brand new. Still in factory-sealed plastic.""], ""title"": ""Kelby Training DVD: The Adobe Photoshop CS5 7-Point System for Camera Raw By Scott Kelby"", ""image"": [""https://images-na.ssl-images-amazon.com/images/I/31IlLImCVJL._SS40_.jpg""], ""brand"": ""Kelby Training"", ""rank"": ["">#654,681 in Electronics (See Top 100 in Electronics)""], ""main_cat"": ""Computers"", ""date"": ""December 2, 2011"", ""asin"": ""0321732960""}"
"""0321735722""","{""description"": [""If you're already a Photoshop user and want a quick, convenient way to unlock the potential of Photoshop CS5's new features then this DVD is the place to start. Ideal for people with experience using a previous version of Photoshop (CS4, CS3, or even CS2)""], ""title"": ""Kelby Training DVD: Adobe Photoshop CS5 Power Session By Matt Kloskowski"", ""image"": [""https://images-na.ssl-images-amazon.com/images/I/31TvjSNbFwL._SS40_.jpg""], ""brand"": ""Kelby Training"", ""rank"": ["">#830,165 in Electronics (See Top 100 in Electronics)""], ""main_cat"": ""Computers"", ""date"": ""November 7, 2011"", ""asin"": ""0321735722""}"
"""0439651859""","{""description"": [""School To Home Notes: Note From the Teacher!\\nSuitable Wording for Both Parents and Caregivers!\\nA great, time-saving way to communicate with parents/care providers! Each specifically designed School to Home Notes booklet contains 60, colorful, two-part c""], ""title"": ""TEACHERS FRIEND NOTE FROM THE TEACHER SCHOOL TO HOME NOTES"", ""image"": [""https://images-na.ssl-images-amazon.com/images/I/31GI7SdbS7L._SS40_.jpg""], ""brand"": ""TEACHERS FRIEND"", ""rank"": ["">#1,233,887 in Electronics (See Top 100 in Electronics)""], ""main_cat"": ""Computers"", ""date"": ""June 6, 2007"", ""asin"": ""0439651859""}"
"""0545729971""","{""description"": [""Dooqi is a young brand specializing in high-end screen protector, originally designed in New York, USA. With prefect cutting reaching 0.1mm accuracy, Dooqi is the brand can meet up with Apple standard so far. Made of a new generation of Grade A, ECO materials in high purity with Japanese latest Nano coating technology,our products don't contain any glue and heavy metals. No harsh to human skin, it makes you and your families ease to use.""], ""title"": ""[3-pack]Ipad Mini Screen Protector, Dooqi Screen Protector for Ipad Mini 3, Ipad Mini 2 and Ipad Mini Retina Display Premium Hd Clear (Invisible)Easy install & Green healthy Product [Lifetime Warranty]"", ""image"": [""https://images-na.ssl-images-amazon.com/images/I/515Ui20DGVL._SS40_.jpg"", ""https://images-na.ssl-images-amazon.com/images/I/41agVgLiAJL._SS40_.jpg"", ""https://images-na.ssl-images-amazon.com/images/I/41RkhtnyTxL._SS40_.jpg"", ""https://images-na.ssl-images-amazon.com/images/I/41gg4%2BFxywL._SS40_.jpg"", ""https://images-na.ssl-images-amazon.com/images/I/41I8GITRkkL._SS40_.jpg""], ""brand"": ""dooqi"", ""feature"": [""Hard coated for Scratch Proof (Hardness: 4H),Compatible with New Apple iPad mini / iPad mini2 / iPad mini3"", ""Dry Application: Easy to install and remove (Bubble-Free / No Residue)"", ""Perfect cutouts on the front not to interfere with sensors or responsiveness"", ""TrueTouch Sensitivity and antibacterial for an invisible and perfect protection on touch screen"", ""High Definition Transparency Film that ensures maximum resolution for RETINA Display""], ""rank"": ["">#454,595 in Electronics (See Top 100 in Electronics)""], ""main_cat"": ""Computers"", ""date"": ""December 5, 2014"", ""asin"": ""0545729971""}"
"""0594450284""","{""tech1"": {""Brand Name"": ""Nook"", ""Item Weight"": ""1 pounds"", ""Package Dimensions"": ""10.5 x 7.5 x 1.5 inches""}, ""description"": [""Cover for Nook HD""], ""title"": ""Hd+ Cheetah Cover- Nook"", ""brand"": ""Nook"", ""feature"": [""Cheetah cover""], ""rank"": ["">#85,661 in Computers & Accessories (See top 100)""], ""main_cat"": ""Computers"", ""date"": ""September 11, 2013"", ""asin"": ""0594450284""}"
"""0594626412""","{""description"": [""new fast shipping""], ""title"": ""Nook 2-way cover stand for Galaxy Tab S2 - Midnight Blue"", ""image"": [""https://images-na.ssl-images-amazon.com/images/I/51IIYtAfTLL._SS40_.jpg"", ""https://images-na.ssl-images-amazon.com/images/I/51Yae9zX1sL._SS40_.jpg""], ""brand"": ""Samsung"", ""rank"": ["">#1,013,527 in Electronics (See Top 100 in Electronics)""], ""main_cat"": ""Computers"", ""date"": ""March 7, 2017"", ""asin"": ""0594626412""}"
"""0594626730""","{""description"": [""GlowLight Plus Protective Soft Touch Shell""], ""title"": ""Barnes Noble Glowlight Plus Soft Touch Shell"", ""also_buy"": [""B01MYQWLTV"", ""B01ASIINAW"", ""B01ASKWY96"", ""B019HF89GA"", ""1400697565""], ""image"": [""https://images-na.ssl-images-amazon.com/images/I/21mglWcniQL._SS40_.jpg"", ""https://images-na.ssl-images-amazon.com/images/I/41sGFtBuuNL._SS40_.jpg""], ""brand"": ""Barnes and Noble"", ""rank"": ["">#211,266 in Electronics (See Top 100 in Electronics)""], ""main_cat"": ""Computers"", ""date"": ""April 19, 2016"", ""price"": ""$8.99"", ""asin"": ""0594626730""}"
"""0879394021""","{""title"": ""Fire Detection & Suppression Systems 4e USB Study Guide"", ""brand"": ""IFSTA"", ""rank"": ["">#1,376,546 in Electronics (See Top 100 in Electronics)""], ""main_cat"": ""Computers"", ""date"": ""April 25, 2014"", ""asin"": ""0879394021""}"
"""0988576902""","{""description"": ["""", ""6 in 1 USB C Hub Designed for MacBook Pro by Arena Gadgets"", ""Having multiple dongles means that you now have more items to manage on top of your MacBook Pro, which increases the risk of misplacing them as you move around. With this adapter, you get the most commonly used ports in one device. This is the adapter Apple should have provided with every MacBook Pro."", ""Premium Quality:  We designed this device to feel like a natural extension of the MacBook Pro with similar product lines, thickness, right angled edges and rounded corners."", ""High Speed:  Unlike most USB-C dongles which still run on slow USB 3.0 (4Gb/s) speed, this device is 10X faster (40Gb/s) by using not one but two USB-C connections."", ""Plug and Play:  No software or driver installation required. Just connect and start using. Keep all your peripheral gear plugged into the hub, grab your laptop and go!"", ""MicroSD and SD Card Slot:  Enable you to easily pull out the SD card straight from your camera and transfer everything to your USB-C laptop in just seconds."", ""Dual USB 3.0 Ports:  Transfer data at up to 5 Gbps. Large files (large images and video files) can be transferred in a few seconds."", ""Pack and Go:  Our USB C multiport adapter is easy to put in your purse, pocket or backpack. Simple and lightweight, it can be used anywhere you want, perfect for using in your office or home, giving you more convenience."", ""Product Specifications:"", """", """"], ""title"": ""Leave Nothing Unsaid"", ""image"": [""https://images-na.ssl-images-amazon.com/images/I/51Tx5wrNUfL._SS40_.jpg"", ""https://images-na.ssl-images-amazon.com/images/I/41zLCdoL0cL._SS40_.jpg"", ""https://images-na.ssl-images-amazon.com/images/I/51kaN%2B9Lc2L._SS40_.jpg"", ""https://images-na.ssl-images-amazon.com/images/I/41-iQ5dss8L._SS40_.jpg"", ""https://images-na.ssl-images-amazon.com/images/I/51cKYeyxB4L._SS40_.jpg"", ""https://images-na.ssl-images-amazon.com/images/I/51ZbGC3bxkL._SS40_.jpg""], ""brand"": ""Enter The Arena"", ""feature"": [""Expand your Macbook: Equipped with 2 USB-C, 2 USB-A 3.0, MicroSD/TF and SD card slot, this hub enables high speed data transfer from your smartphone, flash drive, camera or other standard USB-A or USB-C devices."", ""High Speed: Unlike most USB-C dongles which still run on slow USB 3.0 (4Gb/s) speed, this device is 10X faster by using not one but two USB-C connections."", ""Simultaneous Data & Power Transfer: Capable of charging any of your USB-A or USB-C devices while having all of its data ports in use at the same time."", ""Ultra Slim & Stylish: Designed to be compact enough to stay with your MacBook Pro wherever you go. The brushed aluminum design complements Apple's distinguished style."", ""Satisfaction Guaranteed: We back up each order with a 30-day full refund and 12-month warranty to ensure your total satisfaction. If you are not satisfied for any reason, simply return it to us for your money back without any questions.""], ""rank"": ["">#212,572 in Electronics (See Top 100 in Electronics)""], ""also_view"": [""0877286523""], ""main_cat"": ""Computers"", ""date"": ""February 4, 2014"", ""asin"": ""0988576902""}"
"""1400501784""","{""tech1"": {""Screen Size"": ""7 inches"", ""Hard Drive"": ""8 GB"", ""Wireless Type"": ""802.11bgn"", ""Average Battery Life (in hours)"": ""9 hours""}, ""description"": [""Barnes & Noble NOOK Tablet (Color, 8GB)""], ""title"": ""Barnes & Noble NOOK Tablet (Color, 8GB)"", ""image"": [""https://images-na.ssl-images-amazon.com/images/I/514x%2Bqby5xL._SS40_.jpg"", ""https://images-na.ssl-images-amazon.com/images/I/51xLZ4HsRbL._SS40_.jpg"", ""https://images-na.ssl-images-amazon.com/images/I/51NRfrS-U3L._SS40_.jpg"", ""https://images-na.ssl-images-amazon.com/images/I/51ETAU3cyfL._SS40_.jpg"", ""https://images-na.ssl-images-amazon.com/images/I/51vbsg66JlL._SS40_.jpg""], ""tech2"": {""Brand Name"": ""Barnes & Noble"", ""Series"": ""NOOK Color"", ""Item model number"": ""BNTV250ARB"", ""Hardware Platform"": ""Android"", ""Operating System"": ""Android 2.3 (Gingerbread)"", ""Item Weight"": ""1.35 pounds"", ""Product Dimensions"": ""6 x 8 x 2 inches"", ""Item Dimensions  L x W x H"": ""6 x 8 x 2 inches"", ""Color"": ""Silver"", ""Rear Webcam Resolution"": ""5 \tMP"", ""Computer Memory Type"": ""DDR3 SDRAM"", ""Flash Memory Size"": ""8 GB"", ""Power Source"": ""AC""}, ""brand"": ""Barnes &amp; Noble"", ""feature"": [""Super Fast Dual-Core 1.0GHZ Processor"", ""Movies, TV shows and music, World's Largest Bookstore"", ""Tons of Great Apps"", ""Built-in Microphone, Built-in Wi-Fi"", ""8GB of memory, expandable to 32GB plus free NOOK Cloud storage.""], ""rank"": ["">#39,745 in Computers & Accessories (See top 100)""], ""also_view"": [""1400501466"", ""B01J94T4R2"", ""B00EM3WGYY"", ""B00AGBPI3M""], ""main_cat"": ""Computers"", ""date"": ""January 1, 2013"", ""asin"": ""1400501784""}"
